"","citekey","library_id","model_id","feature_id","data_id","experiment_id","dimension","measure","values","statistic"
"1","agarwal2021an","not specified","SVR KMBSO","song","ismir2012","1","classification","accuracy",0.9879,"mean"
"2","agarwal2021an","not specified","SVR KMBSO","karaoke","ismir2012","1","classification","precision",0.974,"mean"
"3","agarwal2021an","not specified","SVR KMBSO","lyrics","ismir2012","1","classification","sensitivity",0.9723,"mean"
"4","agarwal2021an","not specified","SVR KMBSO","song","NJUV1","1","classification","f1",0.9788,"mean"
"5","agarwal2021an","not specified","SVR KMBSO","karaoke","NJUV1","1","classification","specificity",0.9682,"mean"
"6","agarwal2021an","not specified","SVR KMBSO","lyrics","NJUV1","1","classification","fpr",0.9576,"mean"
"7","agarwal2021an","not specified","SVR KMBSO","song","hindi","1","classification","error",0.9757,"mean"
"8","agarwal2021an","not specified","SVR KMBSO","karaoke","hindi","1","classification","accuracy",0.9563,"mean"
"9","agarwal2021an","not specified","SVR KMBSO","lyrics","hindi","1","classification","precision",0.9417,"mean"
"10","agarwal2021an","not specified","SVR KMBSO","song","ismir2012","1","classification","sensitivity",0.9877,"mean"
"11","agarwal2021an","not specified","SVR KMBSO","karaoke","ismir2012","1","classification","f1",0.9741,"mean"
"12","agarwal2021an","not specified","SVR KMBSO","lyrics","ismir2012","1","classification","specificity",0.9722,"mean"
"13","agarwal2021an","not specified","SVR KMBSO","song","NJUV1","1","classification","fpr",0.9787,"mean"
"14","agarwal2021an","not specified","SVR KMBSO","karaoke","NJUV1","1","classification","error",0.9664,"mean"
"15","agarwal2021an","not specified","SVR KMBSO","lyrics","NJUV1","1","classification","accuracy",0.9566,"mean"
"16","agarwal2021an","not specified","SVR KMBSO","song","hindi","1","classification","precision",0.9741,"mean"
"17","agarwal2021an","not specified","SVR KMBSO","karaoke","hindi","1","classification","sensitivity",0.9536,"mean"
"18","agarwal2021an","not specified","SVR KMBSO","lyrics","hindi","1","classification","f1",0.9392,"mean"
"19","agarwal2021an","not specified","SVR KMBSO","song","ismir2012","1","classification","specificity",0.9878,"mean"
"20","agarwal2021an","not specified","SVR KMBSO","karaoke","ismir2012","1","classification","fpr",0.9738,"mean"
"21","agarwal2021an","not specified","SVR KMBSO","lyrics","ismir2012","1","classification","error",0.9721,"mean"
"22","agarwal2021an","not specified","SVR KMBSO","song","NJUV1","1","classification","accuracy",0.9793,"mean"
"23","agarwal2021an","not specified","SVR KMBSO","karaoke","NJUV1","1","classification","precision",0.9674,"mean"
"24","agarwal2021an","not specified","SVR KMBSO","lyrics","NJUV1","1","classification","sensitivity",0.9575,"mean"
"25","agarwal2021an","not specified","SVR KMBSO","song","hindi","1","classification","f1",0.976,"mean"
"26","agarwal2021an","not specified","SVR KMBSO","karaoke","hindi","1","classification","specificity",0.9557,"mean"
"27","agarwal2021an","not specified","SVR KMBSO","lyrics","hindi","1","classification","fpr",0.9399,"mean"
"28","agarwal2021an","not specified","SVR KMBSO","song","ismir2012","1","classification","error",0.9877,"mean"
"29","agarwal2021an","not specified","SVR KMBSO","karaoke","ismir2012","1","classification","accuracy",0.974,"mean"
"30","agarwal2021an","not specified","SVR KMBSO","lyrics","ismir2012","1","classification","precision",0.9725,"mean"
"31","agarwal2021an","not specified","SVR KMBSO","song","NJUV1","1","classification","sensitivity",0.9789,"mean"
